AtcoCode,CommonName,StopType,ShortCommonName,Street,Longitude,Latitude,ModifiedDate,CreatedDate,LocalityName,Easting,Northing
700000000000,Mount Eagles,BusCoachTramOnStreetPoint,,,-6.0452305272,54.552828129,09/07/2020,09/07/2020,Belfast Metro Ops,326529,368926
700000000001,Queens Square,BusCoachTramOnStreetPoint,,,-5.92275262,54.60106657,09/07/2020,09/07/2020,Belfast Metro Ops,334293,374521
700000000002,Lagmore Reservoir,BusCoachTramOnStreetPoint,,,-6.042831962,54.5551433617,09/07/2020,09/07/2020,Belfast Metro Ops,326677,369188
700000000003,Station Street,BusCoachTramOnStreetPoint,,,-5.9186719939,54.600619178,09/07/2020,09/07/2020,Belfast Metro Ops,334559,374480
700000000004,Lagmore Avenue (Teeling Avenue),BusCoachTramOnStreetPoint,,,-6.0419172358,54.5548769821,09/07/2020,09/07/2020,Belfast Metro Ops,326737,369160
700000000005,Short Strand (Newtownards Road),BusCoachTramOnStreetPoint,,,-5.9081420006,54.6001411095,09/07/2020,09/07/2020,Belfast Metro Ops,335241,374447
700000000006,Lagmore Avenue (Glendowan Park),BusCoachTramOnStreetPoint,,,-6.039862218,54.5538913055,09/07/2020,09/07/2020,Belfast Metro Ops,326873,369054
700000000007,Tower Street,BusCoachTramOnStreetPoint,,,-5.9050802915,54.5997916404,09/07/2020,09/07/2020,Belfast Metro Ops,335440,374414
700000000008,Lagmore Avenue (Glenferna),BusCoachTramOnStreetPoint,,,-6.0328012795,54.5541450481,09/07/2020,09/07/2020,Belfast Metro Ops,327329,369095
700000000009,Templemore Avenue,BusCoachTramOnStreetPoint,,,-5.90163579,54.59936358,09/07/2020,09/07/2020,Belfast Metro Ops,335664,374373
700000000010,Lagmore Meadows,BusCoachTramOnStreetPoint,,,-6.0317597244,54.5513787436,09/07/2020,09/07/2020,Belfast Metro Ops,327405,368789
700000000011,Dee Street,BusCoachTramOnStreetPoint,,,-5.8980386005,54.598896821,09/07/2020,09/07/2020,Belfast Metro Ops,335898,374328
700000000012,Lagmore Drive,BusCoachTramOnStreetPoint,,,-6.03198217,54.54964829,09/07/2020,09/07/2020,Belfast Metro Ops,327396,368596
700000000013,Ribble Street,BusCoachTramOnStreetPoint,,,-5.8936266892,54.5983259291,09/07/2020,09/07/2020,Belfast Metro Ops,336185,374273
700000000014,Lagmore Dale,BusCoachTramOnStreetPoint,,,-6.0291367046,54.5483979854,09/07/2020,09/07/2020,Belfast Metro Ops,327584,368462
700000000015,Connswater,BusCoachTramOnStreetPoint,,,-5.89358495,54.59778871,09/07/2020,09/07/2020,Belfast Metro Ops,336189,374213
700000000016,Lagmore Dale,BusCoachTramOnStreetPoint,,,-6.0295103793,54.5483411802,09/07/2020,09/07/2020,Belfast Metro Ops,327560,368455
