DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
2005,Abbey Park Academy,Primary,Academy sponsor led,Headteacher,Ms Alex Reynolds,Keighley Close,Illingworth,"",Halifax,HX2 9DG,Illingworth and Mixenden,014222 246610,https://apa.northerneducationtrust.org/,Yes,219,2022-01-20 00:00:00,406954,428786,53.75541,-1.89601,North Halifax,NORTHERN EDUCATION TRUST,Northern Education Trust,"",10010175254
5201,All Saints' CofE VA Junior and Infant School,Primary,Voluntary aided school,Headteacher,Mrs Lauren Watson,Dudwell Lane,"","",Halifax,HX3 0SD,Skircoat,014223 367140,www.allsaintsschoolhalifax.co.uk,No,213,2022-01-20 00:00:00,409352,422704,53.70070,-1.85983,Elland,"","","",100000000000
2093,Ash Green Community Primary School,Primary,Community school,Headteacher,Mr Mungo Sheppard,Mixenden Road,Mixenden,"",Halifax,HX2 8QD,Illingworth and Mixenden,014222 244613,http://www.ashgreen.info,Yes,486,2022-01-20 00:00:00,406208,428106,53.74930,-1.90734,North Halifax,"","","",10033879744
2040,Bailiffe Bridge Junior and Infant School,Primary,Community school,Headteacher,Miss Helen Proctor,Victoria Road,Bailiff Bridge,"",Brighouse,HD6 4DY,Hipperholme and Lightcliffe,014847 713039,www.bailiffebridgeschool.org.uk,No,197,2022-01-20 00:00:00,414794,425320,53.72410,-1.77728,East Calderdale,"","","",10010177301
3321,Barkisland CofE VA Primary School,Primary,Voluntary aided school,Headteacher,Mrs Becky Schofield,Scammonden Road,Barkisland,"",Halifax,HX4 0BD,Ryburn,014228 823324,www.barkislandcofeschool.org.uk,Yes,192,2022-01-20 00:00:00,405338,420015,53.67659,-1.92067,Sowerby Bridge,"","","",10006736982
2019,Beech Hill School,Primary,Academy converter,Headteacher,Mrs Shameem Hussain,Mount Pleasant Avenue,"","",Halifax,HX1 5TN,Park,014223 345004,www.beechhillschool.co.uk,Yes,532,2022-01-20 00:00:00,408690,425636,53.72707,-1.86978,North Halifax,THE FAMILY OF LEARNING TRUST,The Family of Learning Trust,"",10006742170
2063,Bolton Brow Primary Academy,Primary,Academy converter,Headteacher,Mr Paul Kelesidis,Bolton Brow,"","",Sowerby Bridge,HX6 2BA,Sowerby Bridge,014228 831031,http://www.boltonbrow.com,Yes,230,2022-01-20 00:00:00,406763,423884,53.71135,-1.89902,Sowerby Bridge,TOGETHER LEARNING TRUST,Together Learning Trust,"",10010179445
2048,Bowling Green Academy,Primary,Academy converter,Headteacher,Mr Jamie Stuttard,Stainland Road,Stainland,"",Halifax,HX4 9HU,Greetland and Stainland,014223 374863,http://www.bowlinggreenacademy.org.uk,No,139,2022-01-20 00:00:00,407670,419304,53.67017,-1.88539,Elland,GREAT HEIGHTS ACADEMY TRUST,Great Heights Academy Trust,"",100000000000
2004,Bradshaw Primary School,Primary,Academy converter,Headteacher,Headteacher Tracy Turner,Ingham Lane,Bradshaw,"",Halifax,HX2 9PF,Illingworth and Mixenden,014222 244283,www.bradshawprimaryschool.org,No,333,2022-01-20 00:00:00,407617,430056,53.76681,-1.88593,North Halifax,BRADSHAW PRIMARY SCHOOL (WITH ACADEMY STATUS),"","",10010175246
5406,Brighouse High School,Secondary,Academy converter,Headteacher,Mr Richard Horsfield,Finkil Street,"","",Brighouse,HD6 2NY,Brighouse,014847 710408,http://www.brighouse.calderdale.sch.uk,No,1324,2022-01-20 00:00:00,414344,422983,53.71339,-1.79376,Secondary,BRIGHOUSE HIGH SCHOOL ACADEMY TRUST,"","",100000000000
